2020-06-01,0
2020-06-02,3
2020-06-03,2
2020-06-04,1
2020-06-05,1
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,3
2020-06-11,2
2020-06-12,1
2020-06-13,0
2020-06-14,2
2020-06-15,0
2020-06-16,4
2020-06-17,1
2020-06-18,0
2020-06-19,1
2020-06-20,1
2020-06-21,0
2020-06-22,1
2020-06-23,0
2020-06-24,1
2020-06-25,1
2020-06-26,2
2020-06-27,3
2020-06-28,4
2020-06-29,12
2020-06-30,5
2020-07-01,4
2020-07-02,8
2020-07-03,4
2020-07-04,4
2020-07-05,6
2020-07-06,5
2020-07-07,4
2020-07-08,8
2020-07-09,5
2020-07-10,7
2020-07-11,3
2020-07-12,9
2020-07-13,6
2020-07-14,6
2020-07-15,8
2020-07-16,11
2020-07-17,26
2020-07-18,19
2020-07-19,5
2020-07-20,8
2020-07-21,4
2020-07-22,16
2020-07-23,7
2020-07-24,10
2020-07-25,7
2020-07-26,11
2020-07-27,6
2020-07-28,14
2020-07-29,10
2020-07-30,4
2020-07-31,8
2020-08-01,3
2020-08-02,12
2020-08-03,4
2020-08-04,8
2020-08-05,8
2020-08-06,10
2020-08-07,5
2020-08-08,2
2020-08-09,8
2020-08-10,14
2020-08-11,4
2020-08-12,9
2020-08-13,5
2020-08-14,3
2020-08-15,7
2020-08-16,4
2020-08-17,4
2020-08-18,2
2020-08-19,2
2020-08-20,6
2020-08-21,5
2020-08-22,7
2020-08-23,7
2020-08-24,2
2020-08-25,2
2020-08-26,5
2020-08-27,5
2020-08-28,2
2020-08-29,4
2020-08-30,1
2020-08-31,2
2020-09-01,2
2020-09-02,1
2020-09-03,5
2020-09-04,3
2020-09-05,3
2020-09-06,1
2020-09-07,-1
2020-09-08,1
2020-09-09,1
2020-09-10,0
2020-09-11,3
2020-09-12,1
2020-09-13,2
2020-09-14,0
2020-09-15,1
2020-09-16,0
2020-09-17,2
2020-09-18,8
2020-09-19,7
2020-09-20,2
2020-09-21,5
2020-09-22,3
2020-09-23,9
2020-09-24,5
2020-09-25,4
